title,author,year,publisher,image_url_m,isbn
Out from This Place (Walker's American History Series for Young People),Joyce Hansen,1988,Walker &amp; Company,http://images.amazon.com/images/P/0802768164.01.MZZZZZZZ.jpg,802768164a
All You Can Do Is All You Can Do But All You Can Do Is Enough!,A.L. WILLIAMS,1989,Ivy Books,http://images.amazon.com/images/P/0804104999.01.MZZZZZZZ.jpg,804104999a
Dying Young,Marti Leimbach,1991,Ivy Books,http://images.amazon.com/images/P/0804107432.01.MZZZZZZZ.jpg,804107432a
Blossom,Andrew H. Vachss,1991,Ivy Books,http://images.amazon.com/images/P/0804107513.01.MZZZZZZZ.jpg,804107513a
Object Lessons,Anna Quindlen,1992,Ivy Books,http://images.amazon.com/images/P/080410946X.01.MZZZZZZZ.jpg,080410946Xa
The Ransom of Black Stealth One,Dean Ing,1990,Tor Books,http://images.amazon.com/images/P/0812508572.01.MZZZZZZZ.jpg,812508572a
Brazen Ecstasy,Janelle Taylor,1983,Zebra Books,http://images.amazon.com/images/P/0821711334.01.MZZZZZZZ.jpg,821711334a
Ecstasy's Paradise,Phoebe Conn,1984,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821714600.01.MZZZZZZZ.jpg,821714600a
Defiant Embrace (Historical Romance),Barbara Dawson Smith,1985,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821715402.01.MZZZZZZZ.jpg,821715402a
Wild Embrace (Zebra Books),Myra Rowe,1985,Kensington Publishing Corporation,http://images.amazon.com/images/P/0821717138.01.MZZZZZZZ.jpg,821717138a
,,,,,821717146a
Emerald Embrace (A Zebra Heartfire Romance),Marjorie Price,1989,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821728555.01.MZZZZZZZ.jpg,821728555a
Tempted by Fire,Thea Devine,1995,Zebra Books,http://images.amazon.com/images/P/0821750208.01.MZZZZZZZ.jpg,821750208a
Listen to Your Heart,Fern Michaels,2004,Zebra Books,http://images.amazon.com/images/P/0821774638.01.MZZZZZZZ.jpg,821774638a
Shaken and Stirred,Sue McKay,2004,Zebra Books,http://images.amazon.com/images/P/082177574X.01.MZZZZZZZ.jpg,082177574Xa
Walking Among the Unseen,Hannah Hurnard,1981,Tyndale House Publishers,http://images.amazon.com/images/P/0842378057.01.MZZZZZZZ.jpg,842378057a
Swiss Family Robinson,Johann Wyss,1978,Amer Guidance Service,http://images.amazon.com/images/P/0883013231.01.MZZZZZZZ.jpg,883013231a
Whitney (Reading Success),Eichhorn,1987,Turman Publishing Company,http://images.amazon.com/images/P/089872211X.01.MZZZZZZZ.jpg,089872211Xa
Tomorrow today (Planet series),George Zebrowski,1975,Unity Press,http://images.amazon.com/images/P/0913300314.01.MZZZZZZZ.jpg,913300314a
Somebody'S Baby,Charlotte Vale Allen,1996,Mira,http://images.amazon.com/images/P/1551660679.01.MZZZZZZZ.jpg,1551660679a
Witchcraft,Jayne Ann Krentz,1996,Mira,http://images.amazon.com/images/P/1551661586.01.MZZZZZZZ.jpg,1551661586a
High Stakes,Rebecca Brandewyne,1998,Mira,http://images.amazon.com/images/P/1551664305.01.MZZZZZZZ.jpg,1551664305a
Lost Highways,Curtiss Matlock,1999,Mira,http://images.amazon.com/images/P/1551664992.01.MZZZZZZZ.jpg,1551664992a
Fourth Horseman (Jackie Kaminsky Mysteries),Margot Dalton,1999,Mira,http://images.amazon.com/images/P/1551665220.01.MZZZZZZZ.jpg,1551665220a
Horsemasters Daughter,Susan Wiggs,1999,Mira,http://images.amazon.com/images/P/1551665344.01.MZZZZZZZ.jpg,1551665344a
The Delaney Woman,Jeanette Baker,2003,Mira,http://images.amazon.com/images/P/1551666960.01.MZZZZZZZ.jpg,1551666960a
Return To Me,Rosemary Rogers,2003,Mira,http://images.amazon.com/images/P/1551667487.01.MZZZZZZZ.jpg,1551667487a
Innocents Club,Taylor Smith,2001,Mira,http://images.amazon.com/images/P/1551668181.01.MZZZZZZZ.jpg,1551668181a
16 Lighthouse Road,Debbie Macomber,2001,Mira,http://images.amazon.com/images/P/1551668300.01.MZZZZZZZ.jpg,1551668300a
204 Rosewood Lane,Debbie Macomber,2002,Mira,http://images.amazon.com/images/P/1551669293.01.MZZZZZZZ.jpg,1551669293a
Southern Gentleman,Yvonne Lehman,1994,Barbour Publishing,http://images.amazon.com/images/P/1557485534.01.MZZZZZZZ.jpg,1557485534a
Eye Illusions: CASPER Magic 3-D Pictures From the Movie: Jim Anderson,Jim Anderson,1995,Modern Publishing/ Universal City Studio,http://images.amazon.com/images/P/1561446807.01.MZZZZZZZ.jpg,1561446807a
Amazonia,James Rollins,2003,Avon Books,http://images.amazon.com/images/P/0060002492.01.MZZZZZZZ.jpg,60002492a
Emily Post on weddings,Elizabeth L Post,1987,Perennial Library,http://images.amazon.com/images/P/0060808128.01.MZZZZZZZ.jpg,60808128a
Tears of the Moon,Di Morrissey,1998,HarperCollins Publishers,http://images.amazon.com/images/P/0061013145.01.MZZZZZZZ.jpg,61013145a
Acorna: The Unicorn Girl (Acorna (Paperback)),Anne McCaffrey,1998,Eos,http://images.amazon.com/images/P/0061057894.01.MZZZZZZZ.jpg,61057894a
The Thief of Always,Clive Barker,2002,HarperTrophy,http://images.amazon.com/images/P/0064409945.01.MZZZZZZZ.jpg,64409945a
The Sunne in Splendour,Sharon Kay Penman,1990,Ballantine Books,http://images.amazon.com/images/P/0140067647.01.MZZZZZZZ.jpg,140067647a
King Solomon's Mines (Puffin Classics),Henry Rider Haggard,1983,Penguin USA,http://images.amazon.com/images/P/0140350144.01.MZZZZZZZ.jpg,140350144a
,,,,,152413642a
Joni-Movie,Joe Musser,1980,Zondervan Publishing Company,http://images.amazon.com/images/P/0310239826.01.MZZZZZZZ.jpg,310239826a
Gospel,Wilton Barnhardt,1993,St Martins Pr,http://images.amazon.com/images/P/0312088027.01.MZZZZZZZ.jpg,312088027a
The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,312195516a
My Posse Don't Do Homework,Louanne Johnson,1993,St. Martin's Press,http://images.amazon.com/images/P/0312951639.01.MZZZZZZZ.jpg,312951639a
Little Drummer Girl,John Lecarre,0,Pan Books Ltd,http://images.amazon.com/images/P/0330282565.01.MZZZZZZZ.jpg,330282565a
The Blue Hawk,Peter Dickinson,1977,Del Rey Books,http://images.amazon.com/images/P/0345257596.01.MZZZZZZZ.jpg,345257596a
The Flower of the Storm,Beatrice Coogan,1978,Ballantine Books,http://images.amazon.com/images/P/0345273680.01.MZZZZZZZ.jpg,345273680a
Harpist In the Wind,Patricia A. McKillip,1980,Ballantine Books,http://images.amazon.com/images/P/0345274695.01.MZZZZZZZ.jpg,345274695a
Heir of Sea and Fire,Patricia A. McKillip,1980,Ballantine Books,http://images.amazon.com/images/P/0345288823.01.MZZZZZZZ.jpg,345288823a
The Riddle Master of Hed (Riddlemaster of Hed),Patricia A. McKillip,1991,Del Rey Books,http://images.amazon.com/images/P/0345331044.01.MZZZZZZZ.jpg,345331044a
Interview with the Vampire,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,345337662a
Childhood's End,Arthur C. Clarke,1987,Del Rey Books,http://images.amazon.com/images/P/0345347951.01.MZZZZZZZ.jpg,345347951a
"Perfect Bride (Harlequin Romance, No. 3270)",Jasmine Cresswell,1993,Harlequin,http://images.amazon.com/images/P/0373032706.01.MZZZZZZZ.jpg,373032706a
"Undercover Baby  (50th Anniversary/Love Undercover) (Harlequin Romance, 3553)",Rebecca Winter,1999,Harlequin,http://images.amazon.com/images/P/0373035535.01.MZZZZZZZ.jpg,373035535a
"Truth About Toby (Harlequin Intimate Moments, No 810)",Cheryl St. John,1997,Silhouette,http://images.amazon.com/images/P/0373078102.01.MZZZZZZZ.jpg,373078102a
"Season Of Miracles  (Try To Remember) (Silhouette Intimate Moments, 900)",Christine Michels,1998,Silhouette,http://images.amazon.com/images/P/0373079001.01.MZZZZZZZ.jpg,373079001a
"No Mistaking Love (Silhouette Romance, No 907)",Moyra Tarling,1992,Silhouette,http://images.amazon.com/images/P/0373089074.01.MZZZZZZZ.jpg,373089074a
"To The Rescue (Silhouette Romance, No 8918)",Kristina Logan,1993,Silhouette,http://images.amazon.com/images/P/037308918X.01.MZZZZZZZ.jpg,037308918Xa
"Can'T Buy Me Love (Silhouette Romance, No 935)",Tom Smith,1993,Silhouette,http://images.amazon.com/images/P/037308935X.01.MZZZZZZZ.jpg,037308935Xa
Just A Memory Away (Silhouette Romance No. 937),Moyra Tarling,1993,Silhouette,http://images.amazon.com/images/P/0373089376.01.MZZZZZZZ.jpg,373089376a
"Golden Mask (Harlequin Presents, No 1537)",Robyn Donald,1993,Harlequin,http://images.amazon.com/images/P/0373115377.01.MZZZZZZZ.jpg,373115377a
Saving Grace (Harlequin Presents No. 11543),Carole Mortimer,1993,Harlequin,http://images.amazon.com/images/P/0373115431.01.MZZZZZZZ.jpg,373115431a
The Wedding is White (Silhouette Desire),Diana Palmer,2000,Silhouette Books,http://images.amazon.com/images/P/0373153260.01.MZZZZZZZ.jpg,373153260a
"Runaway Princess (Silhouette Romance, No 1497)",Patricia Forsythe,2001,Silhouette,http://images.amazon.com/images/P/0373194978.01.MZZZZZZZ.jpg,373194978a
Don'T Stop For Hooky Hefferman,Laurence Meynell,1990,Worldwide Library,http://images.amazon.com/images/P/0373260539.01.MZZZZZZZ.jpg,373260539a
Night Into Day (Harlequin Superromance 278),Sandra Canfield,1987,Harlequin,http://images.amazon.com/images/P/0373702787.01.MZZZZZZZ.jpg,373702787a
"Wrong Bride  (By The Year 2000:  Revenge) (Harlequin Superromance, 830)",Caroline Arnold,1999,Harlequin,http://images.amazon.com/images/P/0373708300.01.MZZZZZZZ.jpg,373708300a
Marriage By Design,Cathy Gillen Thacker,1994,Harlequin,http://images.amazon.com/images/P/0373832958.01.MZZZZZZZ.jpg,373832958a
Tell Me Everything (Aerial Fiction),Carolyn Coman,1995,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374475067.01.MZZZZZZZ.jpg,374475067a
Sooner or Later,Bruce and Carol Hart,1983,Harpercollins Juvenile Books,http://images.amazon.com/images/P/0380429780.01.MZZZZZZZ.jpg,380429780a
Pastora,Joanna Barnes,1981,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380561840.01.MZZZZZZZ.jpg,380561840a
The Doll in the Garden,Mary Downing Hahn,1990,HarperTrophy,http://images.amazon.com/images/P/0380708655.01.MZZZZZZZ.jpg,380708655a
Downtown,Norma Fox Mazer,1991,HarperTrophy,http://images.amazon.com/images/P/0380885344.01.MZZZZZZZ.jpg,380885344a
A Groom With a View: A Jane Jeffry Mystery (Jane Jeffry Mysteries (Hardcover)),Jill Churchill,1999,William Morrow &amp; Company,http://images.amazon.com/images/P/038097570X.01.MZZZZZZZ.jpg,038097570Xa
Elephants Can Remember,Agatha Christie,1979,Putnam Pub Group,http://images.amazon.com/images/P/0396067425.01.MZZZZZZZ.jpg,396067425a
Indigo Nights,Olivia O'Neill,1977,Berkley,http://images.amazon.com/images/P/0425036294.01.MZZZZZZZ.jpg,425036294a
White Plague,Frank Herbert,1983,Penguin Putnam~mass,http://images.amazon.com/images/P/0425065553.01.MZZZZZZZ.jpg,425065553a
The Maltese Goddess: An Archaeological Mystery (Archaeological Mysteries),Lyn Hamilton,1998,Prime Crime,http://images.amazon.com/images/P/0425162400.01.MZZZZZZZ.jpg,425162400a
The Etruscan Chimera (Archaeological Mystery),Lyn Hamilton,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189082.01.MZZZZZZZ.jpg,425189082a
The Thai Amulet: An Archaeological Mystery,Lyn Hamilton,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425194876.01.MZZZZZZZ.jpg,425194876a
A Glory of Unicorns,Bruce Coville,2000,Scholastic,http://images.amazon.com/images/P/043906628X.01.MZZZZZZZ.jpg,043906628Xa
"Cats, Dogs and Other Strangers at My Door",Jack Smith,1985,Dell Publishing Company,http://images.amazon.com/images/P/0440111188.01.MZZZZZZZ.jpg,440111188a
Weep No More My Lady,Mary Higgins Clark,1993,Dell,http://images.amazon.com/images/P/0440200989.01.MZZZZZZZ.jpg,440200989a
The Rainmaker,JOHN GRISHAM,1996,Dell,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,044022165Xa
Mirror Image,Danielle Steel,1999,Dell Publishing Company,http://images.amazon.com/images/P/0440224772.01.MZZZZZZZ.jpg,440224772a
Tara Road,Maeve Binchy,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,440235596a
,,,,,440840805a
Julie of the Wolves,Jean Craighead George,1986,Dell Publishing Company,http://images.amazon.com/images/P/0440844444.01.MZZZZZZZ.jpg,440844444a
Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf,http://images.amazon.com/images/P/0440940001.01.MZZZZZZZ.jpg,440940001a
"LONG SECRET, THE",LOUISE FITZHUGH,1978,Laurel Leaf,http://images.amazon.com/images/P/0440949777.01.MZZZZZZZ.jpg,440949777a
Stranger With My Face (Laurel Leaf Books),Lois Duncan,1990,Laure Leaf,http://images.amazon.com/images/P/0440983568.01.MZZZZZZZ.jpg,440983568a
Cat's Paw,L.A. Taylor,1995,Ace Books,http://images.amazon.com/images/P/0441001815.01.MZZZZZZZ.jpg,441001815a
The Caterpillar's Question,Piers Anthony,1992,Berkley Pub Group,http://images.amazon.com/images/P/0441094880.01.MZZZZZZZ.jpg,441094880a
Eloquent Silence,Sandra Brown,1995,Warner Books,http://images.amazon.com/images/P/0446360511.01.MZZZZZZZ.jpg,446360511a
The Guardian,Nicholas Sparks,2003,Warner Books,http://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg,446527793a
Message in a Bottle,Nicholas Sparks,1999,Warner Vision,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg,446606812a
Mrs. Pollifax and the Hong Kong Buddha,Dorothy Gilman,1988,Fawcett Books,http://images.amazon.com/images/P/0449209830.01.MZZZZZZZ.jpg,449209830a
Diceys Song,Cynthia Voigt,1984,Ballantine Books,http://images.amazon.com/images/P/0449700712.01.MZZZZZZZ.jpg,449700712a
Freedom to Dream,Cynthia Blair,1987,Fawcett Books,http://images.amazon.com/images/P/0449702634.01.MZZZZZZZ.jpg,449702634a
A Cat by Any Other Name (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,1994,Signet Book,http://images.amazon.com/images/P/0451172310.01.MZZZZZZZ.jpg,451172310a
Tigana,Guy Gavriel Kay,1994,Roc,http://images.amazon.com/images/P/0451451155.01.MZZZZZZZ.jpg,451451155a
The Cat Who Had 14 Tales,Lilian Jackson Braun,1991,Jove Books,http://images.amazon.com/images/P/0515094978.01.MZZZZZZZ.jpg,515094978a
The Boy Who Reversed Himself,William Sleator,1986,Dutton Books,http://images.amazon.com/images/P/0525442766.01.MZZZZZZZ.jpg,525442766a
The Proteus Operation,James P. Hogan,1991,Spectra Books,http://images.amazon.com/images/P/055325698X.01.MZZZZZZZ.jpg,055325698Xa
Golden Thread,Suzy Charnas,1990,Starfire,http://images.amazon.com/images/P/055328553X.01.MZZZZZZZ.jpg,055328553Xa
Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1991,Bantam,http://images.amazon.com/images/P/0553287532.01.MZZZZZZZ.jpg,553287532a
Rest in Pieces (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1993,Bantam,http://images.amazon.com/images/P/0553562398.01.MZZZZZZZ.jpg,553562398a
Mystery at Fire Island,Hope Campbell,1984,Scholastic,http://images.amazon.com/images/P/0590332058.01.MZZZZZZZ.jpg,590332058a
All on a Winter's Day,Lisa Taylor,1990,Scholastic,http://images.amazon.com/images/P/0590434160.01.MZZZZZZZ.jpg,590434160a
White Fang II: Myth of the White Wolf,Elizabeth Faucher,1994,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/059048611X.01.MZZZZZZZ.jpg,059048611Xa
Tough Is Not Enough (Hiway Book),Ruth Hallman,1981,Presbyterian Pub Corp,http://images.amazon.com/images/P/0664326862.01.MZZZZZZZ.jpg,664326862a
The Pirates of Deadman's Cay (A Hiway book),Walter Oleksy,1982,Presbyterian Pub Corp,http://images.amazon.com/images/P/0664326935.01.MZZZZZZZ.jpg,664326935a
Cause Celeb,Helen Fielding,2001,Viking Books,http://images.amazon.com/images/P/0670894508.01.MZZZZZZZ.jpg,670894508a
CONTACT,Carl Sagan,1986,Pocket,http://images.amazon.com/images/P/0671434225.01.MZZZZZZZ.jpg,671434225a
"LADY RAINE (Tapestry Romance, No. 39)",Carol Jerina,1984,Pocket,http://images.amazon.com/images/P/0671508369.01.MZZZZZZZ.jpg,671508369a
So Long and Thanks for all the Fish,Douglas Adams,1985,Pocket,http://images.amazon.com/images/P/0671525808.01.MZZZZZZZ.jpg,671525808a
Life Support,Tess Gerritsen,1998,Pocket,http://images.amazon.com/images/P/0671553046.01.MZZZZZZZ.jpg,671553046a
Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,http://images.amazon.com/images/P/0671568175.01.MZZZZZZZ.jpg,671568175a
Weave World,Clive Barker,1987,Simon &amp; Schuster,http://images.amazon.com/images/P/0671612689.01.MZZZZZZZ.jpg,671612689a
While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,http://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg,671673688a
LIGHT A SINGLE CANDLE,David Butler,1989,Simon Pulse,http://images.amazon.com/images/P/0671677128.01.MZZZZZZZ.jpg,671677128a
The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671701231.01.MZZZZZZZ.jpg,671701231a
The ETERNAL ENEMY,Christopher Pike,1993,Simon Pulse,http://images.amazon.com/images/P/0671745093.01.MZZZZZZZ.jpg,671745093a
The IMMORTAL : THE IMMORTAL,Christopher Pike,1993,Simon Pulse,http://images.amazon.com/images/P/0671745107.01.MZZZZZZZ.jpg,671745107a
Black Dog,Stephen Booth,2001,Pocket,http://images.amazon.com/images/P/0671786040.01.MZZZZZZZ.jpg,671786040a
All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,671793489a
BELIEVE NOT STARS (Kangaroo Book),Robert Le Roy Ripley,1978,Pocket,http://images.amazon.com/images/P/0671820648.01.MZZZZZZZ.jpg,671820648a
Remember Me,Mary Higgins Clark,1995,Pocket,http://images.amazon.com/images/P/0671867091.01.MZZZZZZZ.jpg,671867091a
A CORNER OF THE VEIL : A Novel,Laurence Cosse,1999,Scribner,http://images.amazon.com/images/P/0684846675.01.MZZZZZZZ.jpg,684846675a
Treasures of the Snow,Patricia St. John,1950,Moody Pr,http://images.amazon.com/images/P/0802400086.01.MZZZZZZZ.jpg,802400086a
The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,804106304a
Death of a Glutton : A Hamish MacBeth Mystery,M.C. Beaton,1995,Fawcett Books,http://images.amazon.com/images/P/0804112126.01.MZZZZZZZ.jpg,804112126a
Hart's Hope,Orson Scott Card,1988,Tor Books,http://images.amazon.com/images/P/0812533518.01.MZZZZZZZ.jpg,812533518a
The Prince of Whales,R.L. Fisher,1994,Tor Books,http://images.amazon.com/images/P/0812566378.01.MZZZZZZZ.jpg,812566378a
flambeau@darkcorp.com,Don Hawkins,1999,Kregel Publications,http://images.amazon.com/images/P/0825428688.01.MZZZZZZZ.jpg,825428688a
"The Eleventh Hour (The Secret of the Rose, Vol 1)",Michael Phillips,1993,Tyndale House Publishers,http://images.amazon.com/images/P/0842339337.01.MZZZZZZZ.jpg,842339337a
The Happy Room,Catherine Palmer,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842354220.01.MZZZZZZZ.jpg,842354220a
Song for Sarah: A Young Mother's Journey Through Grief and Beyond,Paula D'Arcy,1979,Waterbrook Pr,http://images.amazon.com/images/P/0877887780.01.MZZZZZZZ.jpg,877887780a
Never Past the Gate: A Novel,Emma Lou Thayne,1975,Gibbs Smith,http://images.amazon.com/images/P/0879050470.01.MZZZZZZZ.jpg,879050470a
Gatekeeper,Terry L. Craig,1999,Creation House,http://images.amazon.com/images/P/088419597X.01.MZZZZZZZ.jpg,088419597Xa
The Sleep of Stone,L. Cooper,1993,New Amer Library (Mm),http://images.amazon.com/images/P/0886775558.01.MZZZZZZZ.jpg,886775558a
The return of Sherlock Holmes (World's best reading),Arthur Conan Doyle,1991,Reader's Digest Association,http://images.amazon.com/images/P/0895774011.01.MZZZZZZZ.jpg,895774011a
The Man Nobody Knows,Bruce B. Barton,1992,Buccaneer Books Inc,http://images.amazon.com/images/P/0899669492.01.MZZZZZZZ.jpg,899669492a
"Parenting for Prevention: How to Raise a Child to Say No to Alcohol and Other Drugs : For Parents, Teachers, and Other Concerned Adults",David J. Wilmes,1988,Johnson Institute/Hazelden,http://images.amazon.com/images/P/0935908463.01.MZZZZZZZ.jpg,935908463a
"Julia's Last Hope (Oke, Janette, Women of the West.)",Janette Oke,1990,Bethany House Publishers,http://images.amazon.com/images/P/1556611536.01.MZZZZZZZ.jpg,1556611536a
One Small Miracle,Lance Wubbels,1995,Bethany House Publishers,http://images.amazon.com/images/P/1556616686.01.MZZZZZZZ.jpg,1556616686a
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,1558744150a
Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications,http://images.amazon.com/images/P/1558745017.01.MZZZZZZZ.jpg,1558745017a
,,,,,1565999916a
I Kissed Dating Goodbye: A New Attitude Toward Relationships And Romance,Joshua Harris,1997,Multnomah,http://images.amazon.com/images/P/1576730360.01.MZZZZZZZ.jpg,1576730360a
Tested By Fire (Baxter Series),Kathy Herman,2001,Multnomah,http://images.amazon.com/images/P/1576739562.01.MZZZZZZZ.jpg,1576739562a
A Writer's Book of Days: A Spirited Companion and Lively Muse for the Writing Life,Judy Reeves,1999,New World Library,http://images.amazon.com/images/P/1577311000.01.MZZZZZZZ.jpg,1577311000a
Rescued by the Cross: Stepping Out of Your Past and into God's Purpose,Ken Freeman,1999,Howard Publishing Company,http://images.amazon.com/images/P/1582293031.01.MZZZZZZZ.jpg,1582293031a
Treachery on the Dark Side,Steven Burgauer,2000,Zero-G Press,http://images.amazon.com/images/P/1892086034.01.MZZZZZZZ.jpg,1892086034a
,,,,,373219350a
,,,,,373219377a
,,,,,373219407a
,,,,,373219415a
,,,,,37321944Xa
,,,,,373219458a
,,,,,671755609a
#N/A,#N/A,#N/A,#N/A,#N/A,6511929a
"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow,http://images.amazon.com/images/P/0060520507.01.MZZZZZZZ.jpg,60520507a
Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial,http://images.amazon.com/images/P/0060930934.01.MZZZZZZZ.jpg,60930934a
La casa de los espÃ­ritus,Isabel Allende,1995,Rayo,http://images.amazon.com/images/P/0060951303.01.MZZZZZZZ.jpg,60951303a
,,,,,99414732a
The Music of Chance,Paul Auster,1993,Penguin Books,http://images.amazon.com/images/P/0140154078.01.MZZZZZZZ.jpg,140154078a
Matilda,Roald Dahl,1990,Viking Penguin Inc,http://images.amazon.com/images/P/0140327592.01.MZZZZZZZ.jpg,140327592a
The Coral Island (Puffin Classics),Robert M. Ballantyne,1995,Puffin Books,http://images.amazon.com/images/P/0140367616.01.MZZZZZZZ.jpg,140367616a
One Flew over the Cuckoo's Nest (Penguin Classics),Ken Kesey,2003,Penguin Books,http://images.amazon.com/images/P/0141181222.01.MZZZZZZZ.jpg,141181222a
Q,Luther Blissett,2004,Harcourt,http://images.amazon.com/images/P/0151010633.01.MZZZZZZZ.jpg,151010633a
"The Strange Case of Dr. Jekyll and Mr. Hyde and Weir of Hermiston: And, Weir of Hermiston (Oxford World's Classics)",Robert Louis Stevenson,1998,Oxford University Press,http://images.amazon.com/images/P/0192834312.01.MZZZZZZZ.jpg,192834312a
The Year of Sharing (Oxford Bookworms),Harry Gilbert,1995,Oxford University Press,http://images.amazon.com/images/P/0194216748.01.MZZZZZZZ.jpg,194216748a
"Advanced Photography, Sixth Edition",Michael John Langford,1998,Focal Press,http://images.amazon.com/images/P/0240514866.01.MZZZZZZZ.jpg,240514866a
The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books,http://images.amazon.com/images/P/0345391810.01.MZZZZZZZ.jpg,345391810a
Love in the Time of Cholera (Everyman's Library (Cloth)),GABRIEL GARCIA MARQUEZ,1997,Everyman's Library,http://images.amazon.com/images/P/0375400699.01.MZZZZZZZ.jpg,375400699a
,,,,,043527242Xa
Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them,J .K. Rowling,2001,Scholastic,http://images.amazon.com/images/P/0439284031.01.MZZZZZZZ.jpg,439284031a
,,,,,439286182a
Harry Potter and the Sorcerer's Stone Movie Poster Book,Inc Staff Scholastic,2001,Scholastic,http://images.amazon.com/images/P/0439286239.01.MZZZZZZZ.jpg,439286239a
High Stakes,Dick Francis,1993,Fawcett Books,http://images.amazon.com/images/P/0449221148.01.MZZZZZZZ.jpg,449221148a
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics,http://images.amazon.com/images/P/0451527747.01.MZZZZZZZ.jpg,451527747a
Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications,http://images.amazon.com/images/P/0486282112.01.MZZZZZZZ.jpg,486282112a
Jane Eyre (Dover Thrift Editions),Charlotte Bronte,2003,Dover Publications,http://images.amazon.com/images/P/0486424499.01.MZZZZZZZ.jpg,486424499a
Love Story,Erich Segal,1988,Bantam Books,http://images.amazon.com/images/P/0553275283.01.MZZZZZZZ.jpg,553275283a
Great British Ghosts (Longman Structural Readers: Background),McIver,1982,Longman Publishing Group,http://images.amazon.com/images/P/0582530431.01.MZZZZZZZ.jpg,582530431a
Â¡No bajes al sÃ³tano! (EscalofrÃ­os No. 2),R. L. Stine,1996,Scholastic,http://images.amazon.com/images/P/0590502123.01.MZZZZZZZ.jpg,590502123a
Moby Dick (Coleccion),Herman Meville,2000,iUniverse,http://images.amazon.com/images/P/0595132189.01.MZZZZZZZ.jpg,595132189a
Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources,http://images.amazon.com/images/P/0613329740.01.MZZZZZZZ.jpg,613329740a
Bridget Jones's Diary: Music from the Motion Picture,Various,2001,Hal Leonard Publishing Corporation,http://images.amazon.com/images/P/063403541X.01.MZZZZZZZ.jpg,063403541Xa
Dark Angel (Casteel),V.C. Andrews,1990,Pocket,http://images.amazon.com/images/P/067172939X.01.MZZZZZZZ.jpg,067172939Xa
Gates of Paradise (Casteel),V.C. Andrews,1990,Pocket,http://images.amazon.com/images/P/0671729438.01.MZZZZZZZ.jpg,671729438a
Overnight (Fear Street) : Overnight (Fear Street Series),R.L. Stine,1991,Simon Pulse,http://images.amazon.com/images/P/0671746502.01.MZZZZZZZ.jpg,671746502a
Black Box (Vintage International),Amos Oz,1989,Vintage Books USA,http://images.amazon.com/images/P/0679721851.01.MZZZZZZZ.jpg,679721851a
In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage,http://images.amazon.com/images/P/0679745580.01.MZZZZZZZ.jpg,679745580a
